1 14499 12167 27387
2 5943 20531 12666
3 21668 27175 28277
4 15210 31718 8713
5 19726 639 21600
6 1449 14299 11187
7 14761 12684 22941
8 22793 22996 7556
9 10081 20110 15557
10 24597 5808 27409
11 29751 19339 2683
12 28833 16520 16599
13 8901 22731 13899
14 21549 23310 12432
15 12428 8032 9091
16 14376 7137 24056
17 24807 17017 26165
18 12057 32575 4182
19 8020 6419 832
20 9080 5686 10952
21 18041 17725 32523
22 22209 19008 15650
23 28170 25615 19806
24 29442 13050 4323
25 4218 30988 24957
26 17133 30022 14725
27 4639 24949 25707
28 17475 10274 13626
29 9781 30693 10247
30 27149 6654 723
31 27356 3629 30812
32 30713 14921 11105
33 3082 29506 8536
34 21976 3479 2518
35 32263 19648 3536
36 532 8080 2216
37 6894 3918 32115
38 21398 3200 3399
39 21319 18152 8727
40 30573 11590 19179
41 24755 6103 12689
42 29757 23280 10749
43 12872 23267 20464
44 27961 21579 18217
45 19720 25345 22220
46 20541 15914 13538
47 18333 18570 6421
48 32315 12339 5078
49 3902 30143 1917
50 17178 29308 12968
51 29799 4644 14455
52 2492 11564 8943
53 18638 15873 32608
54 4798 523 319
55 19641 17658 8520
56 58 2209 32721
57 30878 30380 636
58 13962 8273 1796
59 2233 7594 3772
60 20961 12442 25801
61 17149 2381 20164
62 12849 28257 31673
63 27782 15420 18574
64 21181 17897 7274
65 31347 396 7292
66 14404 19440 7992
67 27356 23540 68
68 10411 17669 25249
69 3386 26209 29020
70 2188 6419 29158
71 1656 17132 27442
72 5907 6580 14729
73 15242 3336 19061
74 15899 3272 17128
75 13884 23904 32063
76 15448 8554 26111
77 14999 14773 24790
78 287 1077 10263
79 20497 14535 26730
80 5386 24692 2036
81 10331 8710 3310
82 20604 28339 13236
83 16015 21157 17674
84 22752 28115 644
85 29715 9532 3247
86 22295 14984 31706
87 1373 28450 1751
88 1383 23016 10186
89 8073 20009 12407
90 242 26231 18358
91 22617 27481 8875
92 10874 5076 23664
93 32023 29414 12973
94 17404 7160 30328
95 18807 16240 2312
96 19568 4508 9992
97 20070 1612 15917
98 20645 30278 29704
99 20841 9323 22872
100 28695 16143 24348
