1 26617 28447 26467
2 7731 23068 20344
3 14082 4544 29175
4 9315 30567 28679
5 15725 30986 7225
6 1750 574 18235
7 6490 1706 16624
8 7652 3504 25473
9 31356 13134 20145
10 26493 9401 24346
11 8369 21309 31114
12 14332 10219 10235
13 3270 20793 24145
14 30565 21738 21473
15 6675 21820 4737
16 28620 28913 18095
17 16974 24663 1089
18 19317 1600 220
19 448 23725 12563
20 11506 25880 32117
21 24773 26730 17973
22 14668 21440 2820
23 16456 11304 25792
24 27637 15767 28759
25 22921 18713 13323
26 3606 28747 26104
27 7800 18674 22480
28 7802 16042 26338
29 32363 26986 29747
30 19745 25505 1709
31 13303 3789 22676
32 21822 27764 18753
33 23347 3313 25298
34 27187 30756 22500
35 21678 15244 24428
36 1987 27302 20747
37 6116 25284 18340
38 13208 32092 17502
39 16619 26217 30092
40 3528 2787 8662
41 1983 8757 26277
42 24573 17213 27344
43 7237 5909 8317
44 7801 19937 15763
45 18695 18749 28525
46 29695 29227 20376
47 28477 28819 13924
48 26986 23375 2200
49 6537 20665 3934
50 29569 9145 8236
51 14247 9156 16132
52 7491 13433 20860
53 17370 27223 10879
54 4800 24628 23637
55 19406 7616 17796
56 28730 9645 4261
57 18781 7246 32550
58 23335 25826 31008
59 5200 9707 16112
60 32325 14938 21410
61 11531 20175 14424
62 30690 22281 20879
63 24781 24514 27008
64 4363 14333 2104
65 753 7998 13039
66 7731 18353 30994
67 23364 25720 18587
68 9630 25531 6974
69 10359 3359 31103
70 17800 11305 17336
71 24119 26693 8601
72 17385 5836 7976
73 18790 21713 15097
74 9032 12106 6179
75 12692 8056 7499
76 31722 26014 28260
77 5543 3068 16396
78 7792 32637 24384
79 29266 22352 29243
80 7327 23989 32103
81 19403 21451 9038
82 12001 32125 9650
83 10461 30351 15282
84 30913 7763 20613
85 31822 13529 20509
86 23669 28635 17170
87 21042 22986 24957
88 19762 20443 18820
89 10650 30955 3141
90 20950 8006 6872
91 24520 16257 13423
92 7478 15861 16622
93 10445 5730 4194
94 14094 32647 19223
95 29237 14322 9125
96 6244 6257 7977
97 26425 366 29443
98 18397 18765 23787
99 21131 19628 11915
100 24153 7916 26952
