1 14240 19 20275
2 6371 14814 27533
3 22883 9806 1467
4 14884 22242 20976
5 2860 28828 18100
6 8333 17272 17013
7 16973 13166 21412
8 8676 5086 28343
9 27039 21398 25953
10 10632 16434 548
11 21606 17366 30118
12 3412 30363 15880
13 8498 4373 6942
14 11857 21291 24633
15 21635 12240 27626
16 28400 6052 10089
17 30076 26888 31531
18 31329 27660 28647
19 25568 4796 8465
20 15428 10675 19798
21 9527 8104 393
22 11715 25871 8616
23 14279 29672 25717
24 13535 1951 28502
25 17605 16301 6941
26 11370 445 29875
27 32752 22309 4400
28 14090 7417 28620
29 20848 1606 29845
30 11583 29305 11821
31 16299 10522 17886
32 13879 11636 12685
33 8564 19653 21517
34 23803 16575 10786
35 7614 15189 20768
36 10042 16136 16693
37 5308 1052 368
38 18618 18476 6705
39 28430 17446 14054
40 30266 10965 32312
41 10862 5643 415
42 1098 8252 17929
43 0 5675 29292
44 23140 6343 14266
45 24360 16405 10323
46 16455 6870 8599
47 24732 937 22784
48 7013 27133 28959
49 30727 15414 17602
50 17383 15239 19707
51 14198 8608 16777
52 7316 21993 16993
53 7788 19286 27907
54 32405 19344 21054
55 24396 24221 21704
56 16881 15927 2083
57 28796 30075 11314
58 9535 28321 13508
59 21358 8524 10842
60 722 32110 22409
61 27243 5057 5969
62 3951 23650 9858
63 12000 25300 5764
64 15958 13399 27076
65 19576 30729 3316
66 18458 8886 30447
67 16961 30946 19629
68 9632 23072 29551
69 25015 18034 9115
70 1595 5309 4027
71 1129 897 15018
72 20419 4927 7068
73 19344 21643 2780
74 285 19101 4929
75 25043 12975 16572
76 19326 4887 1708
77 13834 8773 25416
78 21627 22015 28860
79 11968 22448 10841
80 17064 3164 10465
81 6343 16554 20746
82 26697 3931 571
83 16407 30239 2989
84 873 29750 21684
85 26830 14926 19791
86 4175 8179 2133
87 28430 18632 26590
88 812 7206 14567
89 24331 20872 31337
90 22394 11424 6044
91 2953 28216 17426
92 12119 26283 16984
93 14230 10336 32433
94 10993 17742 19410
95 324 12560 2864
96 8119 6820 5531
97 3510 9798 10799
98 22760 32072 21725
99 13235 8221 26217
100 32444 6515 5190
